PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,PositionID,MarketValueEUR,WageEUR,Matches,MinutesPlayed,Goals,Assists,xG,xA,PassAccuracy,KeyPasses,TacklesWon,Interceptions,DefensiveDuelsWon,Shots,ShotsOnTarget,DribblesCompleted,ProgressivePasses,ProgressiveCarries,GoalContribution,GoalValueRatio,PerformanceScore
2293,1159,73,7,5,3,18501000,2800,23,1690,12,4,13.35,4.09,86.4,1.83,0.07,0.73,57.3,3.48,14.6,1.43,0.56,2.51,16,0.0000006486,80.91
2294,1708,61,6,1,3,42598000,18800,31,2162,8,3,7.58,3.62,78.1,0.67,0.94,0.55,51.8,4.83,47.7,1.6,3.89,4.26,11,0.0000001878,63.53
2295,192,18,2,5,9,25595000,6900,33,2546,0,0,0.14,0,85.8,0.17,3.47,2.09,67.1,1.24,39,0.59,6.29,1.63,0,0,25.68
2296,1015,14,2,3,7,10399000,3170,30,1907,1,0,1.54,0.29,83.6,0.29,2.7,1.47,72.5,0.35,38.6,1.08,2.99,2.15,1,0.0000000962,24.72
2297,812,67,6,2,6,11793000,3570,14,1101,0,3,1.14,4.67,78.1,2.44,1.8,0.88,42.9,0.1,21.6,0.7,6.37,4.6,3,0,33.22
2298,381,89,8,3,10,9273000,1940,17,1219,0,0,0,0.28,72.9,0.14,0.01,0.6,50.7,0,0,0,4.54,0,0,0,12.44
2299,1349,80,7,5,3,16946000,5290,11,782,4,2,5.92,3.3,75.6,0.12,0.99,0.85,16.8,2.4,44.6,2.6,2.25,2.43,6,0.000000236,35.62
2300,1252,61,6,1,10,7837000,2680,14,1113,0,0,0,0.38,70.6,0.29,0.13,0.31,68.7,0,0,0,2.08,0.04,0,0,11.32
2301,34,51,5,3,2,37227000,9820,26,2083,7,1,5.28,3.78,81.5,0.99,0.08,0.27,33.2,2.67,37.1,1.58,1.85,2.35,8,0.000000188,48.02
2302,1824,1,1,3,5,59089000,16650,21,1459,4,7,4.18,6.01,90.7,1.3,2.3,0.44,59.2,1.65,36.6,1.77,5.85,6.41,11,0.0000000677,66.54
2303,1001,64,6,4,8,22708000,5010,22,1850,0,4,0.66,3.12,77.6,0,0.99,1.78,51.6,1.55,34.9,0,1,0,4,0,31.42
2304,108,27,3,1,9,19066000,2910,25,2079,0,0,0.9,0.06,83.6,0.46,2.21,1.99,56.8,0.06,53,0.3,4.08,0.72,0,0,20.94
2305,40,41,4,2,8,30267000,13410,24,1715,0,0,0.47,0.56,79,0,3.56,1.36,42.3,0.42,30.5,0.84,3.98,2.9,0,0,20.28
2306,284,19,2,2,2,95680000,22170,31,2503,12,3,11.25,2.56,79.6,0.89,0.5,0,53.4,4.45,44.1,1.14,1.46,5.4,15,0.0000001254,79.29
2307,316,57,5,2,8,36262000,9980,25,2056,2,2,1.9,2.22,86.4,0.3,2.57,1.67,52.5,0.72,30,1.69,7.24,1.86,4,0.0000000552,38.84
2308,1562,44,4,2,7,29554000,9670,12,818,1,0,0.74,0.36,81,0.9,2.33,1.4,37.3,0,0,0.68,7.72,1.67,1,0.0000000338,22.42
2309,766,13,2,3,5,14182000,5850,4,271,1,0,2.26,1.93,77.5,2.81,3.04,2.03,49.2,1.09,43,1.56,4.46,4.18,1,0.0000000705,24.87
2310,1281,2,1,2,5,33805000,12760,34,2536,5,5,7.78,6.09,84.9,2.53,2.77,1.85,31.8,1.08,43.7,2.27,5.78,4.95,10,0.0000001479,68.36
2311,1957,49,5,1,9,27086000,6720,20,1455,0,3,0.43,2.48,76.2,0.76,3.16,1.23,69.4,0.46,36.9,0.51,3.77,3.31,3,0,32.69
2312,1100,31,3,5,6,13637000,4020,28,2321,2,2,2.58,2.56,87.3,2.95,1.58,1.58,43,1.21,48.8,0.82,10.31,3.65,4,0.0000001467,44.59
2313,204,77,7,4,4,21586000,4270,18,1620,4,1,3.27,2.17,72.4,3.21,1.45,1.02,49.5,2.03,35.4,2.03,5.55,4.72,5,0.0000001853,43.42
2314,360,74,7,5,6,3715000,690,7,572,1,0,0.81,1.35,76.6,0,0.85,1.22,41.4,2.04,31.2,0.22,10.38,4.36,1,0.0000002692,20.83
2315,1785,17,2,1,7,50046000,10980,29,2183,0,2,0,2.43,86,0.63,2.84,1.32,65.9,0.63,30.3,0.68,6.32,1.74,2,0,31.52
2316,1217,72,6,2,3,18324000,5940,13,1044,3,1,6.07,2.36,83.6,1,0.81,0,66.6,3.27,42,0.27,3.47,4.47,4,0.0000001637,32.1
2317,371,90,8,5,3,15257000,2680,21,1748,5,4,5.23,4.2,63.6,1.94,0.37,0.56,28.7,1.53,33.7,0.27,2.96,3.08,9,0.0000003277,52.91
2318,131,40,4,5,3,63577000,19020,38,3115,13,0,12.14,2.13,80,1.61,0,0.19,47.1,2.76,26.9,2.35,2.89,4.59,13,0.0000002045,74.18
2319,1147,59,5,4,2,70978000,18110,32,2512,12,6,11.12,6.88,71.4,0.42,0,0.79,47,5.34,43.1,2.09,4.48,4.42,18,0.0000001691,91.38
2320,1870,28,3,3,6,119710000,21990,30,2658,6,10,7.08,9.06,81.4,0.77,2.31,1.94,49.9,1.79,45.2,2.44,4.97,5.42,16,0.0000000501,89.88
2321,261,21,2,1,2,29355000,8050,9,562,3,3,3.73,4.59,72.7,1.74,0.64,0.81,62.5,4.55,30.2,3.72,4.54,2.66,6,0.0000001022,39.33
2322,1372,90,8,3,7,4081000,1010,10,757,0,1,0.2,0.92,78.2,0.56,2.89,3.77,64.7,0.26,33.4,0.65,4.92,1.39,1,0,24.36
2323,273,75,7,3,2,24857000,5210,33,2505,10,0,12.26,0,73.3,1.89,0.89,0.82,22.8,3.45,41.5,2.75,2.23,3.98,10,0.0000004023,60.69
2324,1233,49,5,1,3,14407000,2400,20,1719,3,7,3.94,6.15,81.7,2.16,0.05,0.58,46.5,2.72,39.1,1.6,1.59,4.62,10,0.0000002082,58.31
2325,285,35,3,5,3,92484000,27020,38,3234,13,4,11.03,3.87,77.9,0.71,1.01,0.74,19,3.38,34.2,2.86,3.48,3.7,17,0.0000001406,90
2326,1066,34,3,3,10,12173000,4800,9,766,0,0,0,0,80.5,0.04,0.08,0.53,36.1,0,0,0,3.56,0.08,0,0,10.27
2327,1356,68,6,4,9,39492000,8130,38,2985,2,2,2.1,1.87,95.6,0.74,2.35,2,58.9,0.45,42.6,0.93,4.09,2.99,4,0.0000000506,42.37
2328,888,26,3,3,6,74578000,21950,30,2700,3,4,2.5,5.53,71.1,1.72,1.32,1,47.2,1.82,42.8,1.82,8.72,2.03,7,0.0000000402,52.71
2329,294,8,1,3,7,19452000,7010,20,1369,0,1,0.3,0.63,84.9,0.75,0.8,3.02,71.2,0.58,44.6,1.08,6.93,2.57,1,0,25.4
2330,740,38,4,2,10,10043000,2760,8,608,0,0,0,0.39,80.7,0.26,0.22,0.29,5,0,0,0,4.46,0.34,0,0,9.61
2331,229,56,5,1,5,78087000,14530,33,2362,1,6,0.72,7.89,77.3,1.04,2.38,1.54,51.9,1.05,29.1,2.48,5.98,1.95,7,0.0000000128,51.52
2332,1861,6,1,1,8,23139000,3800,19,1578,0,0,0,0.3,77.4,0.83,3.04,2.39,65.5,0.61,34.8,0,4.03,0.55,0,0,21.15
2333,1490,37,4,3,6,40537000,6900,34,2737,5,4,4.09,4.09,79.7,1.24,1.89,1.65,36.7,1.12,34.8,2.83,5.28,3.44,9,0.0000001233,60.68
2334,946,67,6,4,4,31052000,11190,38,3413,6,11,6.62,11.43,90.1,1.21,0.99,1.06,60.3,2.53,30.6,0,4.08,0.25,17,0.0000001932,92.13
2335,1172,36,3,1,5,24014000,8700,25,2117,2,3,2.63,3.28,75.6,3.24,1.83,1.62,46.4,1.12,48.1,2.84,1.87,1.82,5,0.0000000833,43.07
2336,1985,37,4,3,7,30588000,10470,38,3420,3,1,2.78,1.35,81.6,1.61,1.06,2.69,64.5,1.17,44.8,0,4.45,3.26,4,0.0000000981,44.18
2337,1149,47,4,5,2,39408000,8390,15,1301,2,2,0.95,3.16,75.8,1.39,0.06,1.01,72.1,3.26,32.4,4.28,2.86,2.26,4,0.0000000508,32.22
2338,434,65,6,1,4,27469000,8640,33,2970,3,2,3.64,0.6,87.9,2.47,2.21,1.98,52,2.38,29.1,2.48,5.97,6.78,5,0.0000001092,50.96
2339,762,66,6,4,7,6949000,1670,24,1710,1,1,1.29,0.23,79.7,0.57,1.38,1.71,52,0.62,16.7,0.15,7.73,0.98,2,0.0000001439,28.16
2340,1071,54,5,2,1,34467000,6080,21,1890,9,3,7.91,4.51,85,2.23,0.53,0.05,45,2.44,13.6,3.31,3.42,1.35,12,0.0000002611,66.33
2341,306,50,5,2,7,30789000,4680,22,1339,0,0,0,0.45,86.6,1.51,0.73,2.91,69.5,1.05,53.1,0.56,4.04,1.1,0,0,20.08
2342,1133,70,6,5,7,4698000,1610,13,729,0,1,0.52,1.43,78.4,1.5,1.59,1.91,67.2,0.27,27.7,1.28,5.72,3.45,1,0,23.4
2343,1557,30,3,2,7,19592000,4370,21,1314,1,2,1.53,2.56,86.6,1.01,3.44,1.98,76.2,0.55,41.1,0.48,1.68,1.54,3,0.000000051,32.63
2344,1614,4,1,2,10,16245000,6230,17,1329,0,1,0,0.84,84.1,0.32,0.16,0.34,67.9,0,0,0,4.14,0.09,1,0,17.87
2345,1182,19,2,1,8,57186000,12670,35,3012,4,0,4.16,0.61,83.8,0.87,1.25,3.81,51.4,0,0,0.77,5.4,2.6,4,0.0000000699,43.15
2346,308,32,3,2,9,33169000,10810,34,2748,0,4,0.57,4.77,79,0.78,1.17,1.98,44.7,0.23,31.3,0.14,3.73,0.75,4,0,37.64
2347,440,44,4,3,7,26676000,8330,34,2823,2,3,2.47,2.58,75.6,1.24,1.86,1.96,33.7,0.61,32,0.76,7.52,2.12,5,0.000000075,45.46
2348,78,5,1,5,10,55824000,16750,35,3150,0,1,0,0.97,69,0.2,0.4,0.4,59.4,0,0,0,3.42,0.04,1,0,22.72
2349,1791,29,3,1,9,27885000,12540,23,2070,0,2,0.89,2.24,80.1,0.74,2.29,1.56,56.1,0.45,21.4,0.22,5.45,2.26,2,0,30.17
2350,161,93,8,2,2,22075000,6780,23,1888,8,4,9.45,5.71,67.5,0.83,0.13,0.46,30.7,0.2,29.6,2.77,2.4,0.72,12,0.0000003624,62.1
2351,995,14,2,2,5,40311000,11660,28,1917,3,4,3.48,4.33,77.6,2.31,1.95,1.75,56.8,1.24,21.2,1.59,5.45,1.55,7,0.0000000744,51.38
2352,612,36,3,5,2,28625000,12530,18,1113,7,3,8.99,3.32,73.9,1.84,0,0.86,36.4,5.32,48.5,2,3.01,0.62,10,0.0000002445,54.1
2353,1702,43,4,1,9,47087000,9850,22,1850,1,2,1.31,2.43,94.2,0.29,1.04,2.38,34.7,1.09,32.6,1.16,6.61,2.48,3,0.0000000212,33
2354,1337,88,8,4,10,14521000,4110,37,3324,0,0,0,0.36,67.6,0.23,0.18,0.28,47,0,0,0,2.42,0.56,0,0,18.26
2355,1292,11,1,1,1,118716000,20280,34,3060,19,3,17.88,3.18,80.5,1.3,0,0.87,60,2.97,46,2.25,3.83,3.27,22,0.00000016,110.57
2356,1770,11,1,4,8,22653000,9110,17,1259,1,4,0.72,3.65,90.7,0.86,2.73,2.51,59.5,0,0,1.05,4.44,2.22,5,0.0000000441,41.42
2357,1679,60,5,3,5,36875000,11520,17,1087,2,2,2.92,4.43,92.9,3.03,2,1.47,59.3,1.43,34.3,1.93,2.13,3.68,4,0.0000000542,37.66
2358,245,17,2,2,10,18030000,3680,33,2244,0,0,0,0,74,0.2,0.1,0.32,45.1,0,0,0,2.31,0.19,0,0,14.59
2359,1396,59,5,5,4,11598000,4310,33,2577,1,3,0,4.18,86,0.89,1.95,0.76,65.6,0.95,50.6,1.49,1.69,1.76,4,0.0000000862,37.17
2360,334,22,2,4,10,41617000,7260,38,2485,0,0,0,0,81,0.32,0.26,0.1,80,0,0,0,1.52,0.15,0,0,16.48
2361,1980,50,5,2,8,19390000,7320,35,2870,1,3,1.63,2.78,91,1.24,2.81,1.78,61,0.55,30.2,0,3.74,1.03,4,0.0000000516,41.7
2362,1846,39,4,2,9,25912000,4840,35,3133,1,3,1.53,3.23,82.9,0.5,1.34,1.45,60.1,0.82,45.3,0.94,6.09,0.58,4,0.0000000386,39.82
2363,504,63,6,1,1,26885000,5240,21,1779,9,1,10.68,0.66,81.4,1.25,0.23,0.61,51.2,4.13,46.4,1.88,3.32,1.61,10,0.0000003348,56.88
2364,1327,2,1,1,2,111472000,28530,23,1409,6,4,3.81,3.12,81.4,2.66,1,0.7,56.5,3.91,47.4,0.29,0.63,4.36,10,0.0000000538,58.99
2365,50,6,1,1,1,23190000,5970,24,1617,6,1,4.18,1.79,85.1,2.26,0.34,0.47,26.1,3.4,30.2,1.95,2.63,2.49,7,0.0000002587,45.35
2366,1757,33,3,2,1,51546000,11850,26,2082,7,2,9.27,3.32,82.9,2.36,0.7,0.45,43.2,2.93,42.4,1.47,2.33,3,9,0.0000001358,55.97
2367,1373,43,4,1,10,56648000,18560,30,2015,0,0,0,0,81.2,0.16,0.05,0.29,29.8,0,0,0,2.88,0.3,0,0,13.91
2368,607,6,1,2,6,79926000,26900,30,2243,3,3,2.9,4.2,77.4,3,0.75,0.02,49,1.59,54.7,1.41,4.09,3.35,6,0.0000000375,45.96
2369,1522,46,4,3,4,61201000,19640,20,1652,4,3,3.56,4.03,85.3,1.75,1.92,2.05,37.5,1.34,36,2.85,5.92,4.7,7,0.0000000654,51.6
2370,1918,8,1,2,10,79365000,25100,30,2592,0,0,0,0.13,77.2,0.35,0,0.14,36.4,0,0,0,3.47,0,0,0,16.02
2371,1772,81,7,4,5,36559000,9890,31,2438,8,4,8.59,3.32,80.9,1.05,2.27,1.29,26.6,2.43,58.7,0.34,1.57,4.56,12,0.0000002188,69.88
2372,1656,9,1,5,3,70201000,14830,25,1622,10,4,12.06,4.19,76.4,1.43,0.71,0.33,27.5,3.84,35.1,2.85,3.94,6.5,14,0.0000001424,74.66
2373,1442,63,6,5,7,11009000,3280,17,1530,1,1,1.53,1.16,82.9,1.18,2.01,3.51,60.9,0.7,34.3,0.68,6.55,1.67,2,0.0000000908,31.58
2374,892,18,2,2,10,44977000,7970,31,2231,0,0,0,0,76,0.46,0.18,0.29,32.2,0,0,0,3.79,0.37,0,0,15.54
2375,1850,36,3,4,10,46508000,19570,30,2700,0,2,0,1.62,65.1,0.14,0.15,0.41,37.9,0,0,0,3.33,0,2,0,23.94
2376,712,32,3,4,2,58869000,24490,34,2255,12,2,13.83,2.08,71.3,1.81,0.64,0.52,38.3,2.17,38.3,1.92,2.56,2.79,14,0.0000002038,75.01
2377,1907,66,6,1,2,4406000,1770,11,980,2,2,3.13,3.58,78.5,0.14,1.03,0.45,58.5,4.19,30.3,0.09,1.27,3.76,4,0.0000004539,29.45
2378,577,48,4,4,1,51532000,18720,24,1630,8,4,7.07,2.07,70.6,1.46,0.43,0.82,40.5,2.59,39.2,2.33,1.96,4.14,12,0.0000001552,64.92
2379,966,64,6,2,5,23473000,10090,29,2358,1,4,0.95,3.73,79.4,2.52,1.35,2.71,44.2,2.03,42.1,1.08,4.95,4.08,5,0.0000000426,46.32
2380,673,21,2,3,5,76099000,22600,34,3060,1,8,1.91,8.76,88.9,0.99,1.31,1.91,71.2,2.56,44.7,2.45,7.58,3.48,9,0.0000000131,63.66
2381,1716,8,1,5,9,28371000,6720,18,1383,0,1,0.69,0.84,87.8,0,0.2,2.2,82.3,0,0,1.56,3.93,2.35,1,0,21.49
2382,525,60,5,2,2,62551000,20110,21,1783,11,5,13.26,4.97,75.6,1.64,1.04,0.11,53.8,2.71,33.2,2.09,3.61,4.28,16,0.0000001759,83.12
2383,1027,61,6,4,10,3367000,630,14,1245,0,0,0,0,85.9,0.36,0.12,0.27,39.6,0,0,0,2.95,0.15,0,0,12.19
2384,487,76,7,3,10,20096000,5180,38,2800,0,0,0,0.14,77.4,0.36,0.11,0.38,37.7,0,0,0,5.28,0,0,0,18.1
2385,1183,69,6,3,6,8281000,2310,26,1859,5,1,5.85,2.78,82.6,4.32,2.2,1.22,80.1,1.71,40.9,2.59,7.87,0.6,6,0.0000006038,51.55
2386,1834,93,8,2,4,15322000,5340,26,1986,5,5,5.81,5.44,81.8,0,1.98,1.57,63.5,2.27,38,3.7,4.74,2.39,10,0.0000003263,60.44
2387,431,79,7,3,4,33391000,11840,30,2544,3,6,3.29,7.33,77.2,1.77,1.32,1.2,53.4,2.44,33.1,1.51,5.29,3.99,9,0.0000000898,60.26
2388,1986,63,6,5,3,6580000,2040,22,1329,3,2,2.17,2.21,81.9,1.76,0.05,0.19,47.3,1.63,35.9,2.18,2.39,1.95,5,0.0000004559,35.04
2389,971,87,8,5,1,16213000,3290,23,1940,8,3,6.78,1.97,84.2,0.98,0.95,0.7,58,3.09,53.6,1.16,2.06,4.32,11,0.0000004934,63.06
2390,815,68,6,1,3,56669000,11380,23,2070,11,3,9.63,2.3,78.4,0.97,0.79,0,55.9,2.31,39.1,0,2.41,4.84,14,0.0000001941,74.53
2391,366,88,8,2,1,29485000,8820,23,2052,8,5,6.89,5.05,69.8,0.95,0.58,0,63.1,2.52,28.3,4.57,4.56,1.95,13,0.0000002713,69.6
2392,539,56,5,5,3,50279000,11180,29,1998,10,4,6.05,5.08,82.2,1.37,0.31,0.14,24.9,4.02,34.3,2.97,3.18,1.93,14,0.0000001989,72.67
2393,107,55,5,1,1,37025000,6800,25,1879,6,1,11.32,2.22,76.8,0.56,0.28,0.33,35,2.9,31.9,3.16,0.26,4.35,7,0.0000001621,43.03
2394,770,16,2,5,6,108694000,23950,22,1580,4,4,3.91,3.75,81.3,2.98,2.41,1.09,36.2,1.74,43.3,1.44,2.12,4.44,8,0.0000000368,54.37
2395,842,13,2,4,1,74859000,20490,29,1519,10,4,11.76,5.08,81.9,1.89,0,0.79,67.5,4.99,40.3,2.91,3.48,1.99,14,0.0000001336,73.7
2396,966,33,3,5,5,21638000,4230,27,2042,1,6,3.22,5.83,77.9,1.62,2.63,1.25,50,2.26,32.4,1.87,3.38,2.94,7,0.0000000462,50.45
2397,1798,55,5,5,7,25390000,5400,27,1804,0,0,0.24,0.08,78,0.64,2.07,1.9,37.2,0,0,0,7.28,2.23,0,0,21.51
2398,831,26,3,3,1,29651000,12700,17,1504,5,3,7.16,5.95,81.8,3.12,0.44,0.39,48,2.6,24,1.27,2.72,3.53,8,0.0000001686,51.34
2399,905,17,2,5,5,7772000,2240,7,435,0,1,1.11,2.34,80.8,0.82,2.61,0.46,76,1.09,65.5,1.53,5.24,4.69,1,0,21.65
2400,1160,29,3,1,5,24558000,7280,20,1800,0,6,0.41,6.4,77.1,1.94,2.47,2.3,71.1,0.1,34,4.17,3.34,1.58,6,0,47.08
2401,956,31,3,2,6,11247000,2030,24,1848,1,2,0.52,0.8,73.3,1.32,1.56,1.37,50.3,3.58,61.2,3,3.74,2.59,3,0.0000000889,32
2402,183,37,4,4,4,51742000,16180,33,2407,5,4,4.99,3.35,84.1,0,1.12,1.09,51.2,0.87,35,0.76,6.17,1.37,9,0.0000000966,56.19
2403,152,38,4,3,10,31006000,9430,22,1529,0,0,0,0,76.2,0,0.02,0.18,29.6,0,0,0,3.65,0.21,0,0,11.96
2404,1119,4,1,5,10,29707000,9690,18,1305,0,0,0,0,82.1,0.29,0.04,0.51,52.7,0,0,0,3.82,0.31,0,0,13.2
2405,1165,45,4,4,1,40990000,7120,31,1892,10,1,11.38,4.51,73.6,0,0.52,0.29,54.7,1.38,44.6,1.8,2.48,4.77,11,0.000000244,60.22
2406,153,96,8,1,2,37705000,9510,25,2079,8,3,11.16,4.3,70.8,1.77,0.89,0.45,43.4,4.37,30.7,2.14,1.54,1.55,11,0.0000002122,61.58
2407,532,80,7,5,1,29131000,7330,23,2070,6,3,8.06,3.84,76.6,0.7,0.35,0.63,40.9,3.81,55.7,0.02,2.94,3.84,9,0.000000206,53.57
2408,696,77,7,2,8,31398000,5310,29,2610,2,1,2.01,1.26,72.6,0.88,1.97,1.83,42.8,0.82,28.6,0.31,2.55,1.19,3,0.0000000637,33.36
2409,1193,43,4,4,9,21284000,4560,32,2319,1,2,1.05,2.37,81.8,0.77,1.75,2.59,61.7,0.12,37.6,0,3.89,0.95,3,0.000000047,34.45
2410,1118,75,7,2,9,31022000,11840,21,1890,1,1,0.53,1.22,80,1.09,2.24,1.83,80.5,0,0,0.37,6.97,2.12,2,0.0000000322,31.78
2411,1944,64,6,4,5,30041000,9590,28,1903,2,7,2.32,7.3,85,1.24,0.83,0.5,38,1.16,19.2,0,4.08,7.04,9,0.0000000666,56.75
2412,1941,94,8,3,6,12272000,1860,17,1192,2,5,2.01,5.02,84.6,2.8,1.99,1.17,47.4,1.67,36.3,0,4.38,2.7,7,0.000000163,49.16
2413,1265,53,5,4,8,8782000,1790,21,1229,0,1,0.1,1.33,84.6,1.48,3.61,2.03,61.6,0.35,30.3,0.93,5.82,2.52,1,0,27.33
2414,637,39,4,4,5,19098000,4100,17,1152,2,3,1.43,3.83,85.9,3.36,0.98,1.32,70.2,0.48,27.2,0.63,6.26,6.23,5,0.0000001047,44.29
2415,989,91,8,3,5,27484000,12350,38,3188,5,3,6.69,3.07,87.8,1.92,0.72,1.68,47.3,1.98,23.1,0.52,9.12,5.04,8,0.0000001819,61.28
2416,1782,18,2,2,4,30183000,7720,29,2166,5,7,6.43,8.12,75,0.48,0.23,1.1,37.9,2.59,17.4,1.88,3.78,3.38,12,0.0000001657,66
2417,1519,71,6,2,7,26587000,5330,21,1890,1,0,1.38,0,77.2,1.39,2.77,1.64,69.7,1.08,41.2,0.8,4.36,1.5,1,0.0000000376,26.56
2418,661,49,5,1,3,72357000,21620,26,2154,11,5,11.69,6.52,76.3,1.59,0.99,0.26,50.8,3.43,44.3,1.53,2.56,1.43,16,0.000000152,82.4
2419,240,23,2,4,2,35347000,11360,27,2179,6,3,7.96,3.96,75.6,0.72,0.73,0.66,30.5,2.58,44.9,0.8,1.92,2.29,9,0.0000001697,52.81
2420,1976,89,8,5,8,7330000,2220,17,1164,0,0,0.2,0.41,78.8,0.74,2.13,2.32,70.8,0.69,30,1.19,1.3,0.62,0,0,17.35
2421,553,85,8,4,4,23011000,6560,33,2408,5,7,3.3,6.59,94.5,2.16,0.96,0.89,21.3,2.54,30.7,1.74,2.78,0.67,12,0.0000002173,68.58
2422,84,32,3,2,1,71331000,10980,27,2074,8,3,9.05,4.18,71.8,0.32,1.14,0.26,69.6,0.8,31.2,0.02,1.08,2.83,11,0.0000001122,60.71
2423,379,81,7,2,1,116742000,34130,25,1805,9,0,10.66,1.4,86.9,0.75,0.76,0.63,38.2,0.8,13.6,1.67,2.49,2.06,9,0.0000000771,52.58
2424,52,29,3,5,5,132771000,56960,24,2052,2,6,1.84,7.69,86.2,2.94,0.78,1.73,40.7,2.1,25.7,2.59,5.36,6.4,8,0.0000000151,57.67
2425,17,91,8,4,8,8713000,2480,21,1890,1,0,0.73,0,81.4,1.29,1.51,2.97,65.4,0.08,19.6,1.16,3.91,1.39,1,0.0000001148,26.29
2426,1980,50,5,1,8,17338000,5980,11,770,0,0,0.21,0.32,80.1,0.59,2.96,2.63,74.6,0.62,28.2,0.94,1.66,3.74,0,0,19.1
2427,1433,44,4,1,4,44229000,11180,17,1252,3,4,5.38,3.74,80.2,4.12,2.01,1.23,51.9,1.97,37.4,2.14,3.53,2.16,7,0.0000000678,50.65
2428,1041,39,4,4,1,36725000,10810,29,2610,12,9,13.74,8.81,65.1,0.76,0.77,0.29,32.6,2.56,64.7,3.29,2.56,0.99,21,0.0000003268,101.12
2429,421,76,7,2,3,19877000,3730,19,939,5,5,5.01,4.81,71,2.55,0.43,0.47,64.3,3.02,42.7,2.1,3.24,1.71,10,0.0000002515,55.99
2430,585,49,5,1,9,85944000,14730,38,3083,1,5,0.87,4.45,83.7,0,1.99,2.45,47.7,0.54,42.9,0.45,3.81,1.96,6,0.0000000116,48.11
2431,1304,62,6,4,9,13788000,4120,23,1968,0,0,0.59,0,89.1,0,3.88,0.98,72.9,0.15,20.7,0.31,6.58,0.97,0,0,22.81
2432,1618,10,1,3,5,22038000,7100,26,2309,7,5,6.69,4.88,77.2,2.34,0.76,2.28,73.6,2.96,39.2,0.36,6.96,2.55,12,0.0000003176,73.68
2433,797,40,4,4,2,142175000,58510,23,1732,6,6,8.54,7.3,80.7,0.92,0.35,0.52,44.7,4.31,34.5,0.34,2.84,4.39,12,0.0000000422,65.19
2434,314,65,6,3,3,43757000,7050,19,1337,14,4,13.45,4.62,72.1,1.01,0.56,0.86,42.3,5.03,20.4,2.08,0,3.51,18,0.0000003199,86.3
2435,658,23,2,4,3,98346000,34760,29,1869,7,2,9.77,2.17,82.7,1.74,1.26,0.5,29.8,2.91,37.8,1.6,4.34,3.12,9,0.0000000712,55.71
2436,777,46,4,5,5,68040000,16830,33,2271,3,8,3.6,7.3,81.1,0.69,1.48,0.41,62.8,2.13,39.6,2.3,7.14,6.83,11,0.0000000441,67.8
2437,185,2,1,2,1,141162000,53400,26,2020,10,3,10.11,2.55,71.6,0.81,1.05,0.38,48.2,3.17,24.9,2.67,1.97,3.97,13,0.0000000708,69.66
2438,1661,26,3,2,4,44970000,19160,38,2739,1,4,3.73,5.55,80.1,3.45,2.06,2.08,57.1,2.53,23.9,1.72,4.86,4.54,5,0.0000000222,49.69
2439,1799,94,8,3,8,8669000,3140,18,1436,0,1,0.58,1.14,89.9,0.48,2.21,2.42,63.7,0.48,51.2,0.53,5.48,2.45,1,0,25.43
2440,939,90,8,5,7,18044000,3460,37,2954,2,2,1.93,1.87,95,1.22,2.88,0.32,75,0,0,1.02,4.16,2.45,4,0.0000001108,41.82
2441,1774,53,5,3,2,24098000,10420,29,2058,4,1,5.04,1.45,68.3,0.02,1.4,0,50.8,4.1,44.6,2.24,1.84,1.7,5,0.000000166,35.28
2442,1733,70,6,4,2,3921000,680,6,453,0,1,1.92,1.95,84.7,1.64,0.72,0.33,36.5,2.84,58.4,2.8,1.32,3.62,1,0,17.03
2443,1645,19,2,3,5,136246000,51340,29,2368,7,6,6.85,6.74,73.1,0.56,1.56,2.29,69.1,0.93,26.5,1.33,5.84,6.4,13,0.0000000514,77.2
2444,124,69,6,2,8,10410000,2120,14,1252,1,2,0.81,2.55,82.5,0.53,2.21,1.13,69.6,0.51,33.5,1.53,5.81,3.9,3,0.0000000961,32.04
2445,358,83,7,5,4,36928000,12670,20,1060,6,2,5.68,2.52,71.1,2.28,1.32,1.58,44.4,1.61,41.1,1.36,4.34,3.32,8,0.0000001625,51.15
2446,655,16,2,4,10,18944000,3570,16,993,0,1,0,1.03,80.6,0.33,0.17,0.33,59.3,0,0,0,5.59,0.54,1,0,17.28
2447,1882,14,2,5,5,63349000,17420,31,2209,2,5,1.12,6.1,83,2.77,2.46,0.43,35.6,2.5,34.1,1.31,7.42,3.18,7,0.0000000316,53.5
2448,1022,85,8,1,8,3171000,710,30,2059,0,0,0.56,0.85,78.7,0.49,2.73,2.93,41.3,0.82,45.3,0.19,4.31,2.68,0,0,23.06
2449,1953,91,8,4,9,25379000,5340,29,2292,0,1,0.2,1,89.9,1.21,2.86,1.79,74.2,0.48,34.1,0.97,6.47,0.86,1,0,29.42
2450,1192,81,7,3,4,37659000,13110,26,1921,7,9,7.1,8.91,87,2.97,1.88,1.83,57.5,1.81,29.5,0.52,6.51,0.11,16,0.0000001859,88.7
2451,674,41,4,4,1,82717000,20420,29,2212,8,4,7.86,2.97,74.8,1.38,0.35,0.67,48.1,3.05,56.7,2.75,2.27,1.87,12,0.0000000967,65.92
2452,1331,83,7,4,4,13065000,5500,12,1045,2,2,1.86,1.65,81.4,1.29,1.35,1.4,44,0.1,29.7,0.13,6.69,3.85,4,0.0000001531,35.38
